unique_id,rating_location,rating_cleanliness,rating_staff,rating_facilities,rating_value_for_money,rating_overall
ba7b9e7b9073e745d38122d74045be00,5,5,5,4.6,5,5
60ac1903f046575659e673d05595e452,4.7,5,5,3.8,4.7,4.1
9f44a0a7acfd5ce8d7abe69978b2a9e0,5,3.5,2.9,3.4,4.3,3.5
424e80851ffa9268998759a161ef9620,3.7,5,4.5,5,4.2,4.6
820a2280b2be3049fd4efe6c3d8180db,3.7,4.3,5,4.2,5,4.5
a15cc26d987a0507e2f821741511ee1e,4.3,5,3.1,4.2,5,3.7
6032089d911e10217d7315b5e8b6c0a1,4.7,5,5,5,5,4.8
83f72733392255bcbd5dbc72b373fb20,4.9,4,5,4.7,5,5
9afd2a4f26174caa6f4c1756b9663326,4.2,3.3,3.8,3.5,4.5,4
653f1116dc8e12b979945b0a3ebaba6a,4.2,4.9,4.3,2.9,3.6,3.6
498f512852defc01b2dd14ff350ed11c,2,4.5,4.5,5,2.2,3.6
da9b35a172bec9255b606b338ebd3862,3.4,5,5,4.4,2.6,4.7
74c08e56a4cdbec14550ac1535a82408,5,4.9,4,4.4,4.9,4.7
ae3200631ff30a7e205f7923060e90fd,3.8,4.2,4,4,5,4.4
d59babf0cb6e2d0b7b6ea99981ed8337,2.8,4.7,4,4.4,5,4.2
2b27a184f4c347732efc3524334c1b03,4.1,4.1,4.8,2.3,4.7,3.7
26844a9fd617b629d5dfa51c07f5ffe1,2.1,3.6,2.7,3.2,4,3.1
7607f483e7afde0ac8c9b37e0db3662d,2.3,2.7,3,3.6,2.6,2.8
043b9a4c916430d8f7b068bc9d2a3a2c,1.8,1,3.2,3.5,2.5,2.8
cbf8641b8d2dea588123c927f63fdbf3,2.7,3.7,2.8,3.9,3.5,2.4
a48cc74b034d053c91fcc3ab5dcda2e4,4.2,4.6,4.2,1,3.1,3.3
365981d66dd1f41158bb7a86a0d55d94,3.2,3.8,2.7,4.5,3,3.8
2101d1cb5572b7a52b2ca62fa58f3129,5,1.9,5,5,3.4,4.3
6884640f126657c4242c143e80947480,4,2.8,1.7,3.7,3.9,2.9
d4f1a2bb36982491e5cd67eecb66a275,4.1,3.6,3.5,2.4,2.6,3.5
e42a93e817308c3c118cd67cfbc5b86c,1.9,1.8,1.7,1,1,1.4
b55600e03ff256afd74d7a61436dba5c,1.5,2.8,1,2.5,1,1.3
932699fb6128b606f46137f4db61d126,1,1.2,1.8,3.7,2.3,1.7
2d84c169919e6f6c4d9d693f54edaf3b,3.4,1,3.1,2.7,2.1,2.6
80068aaef0dc33b8cc5329bd7f365f94,1.2,2.9,2.6,4.3,1.7,2.1
18181bc5f6bc357eccc2f83b7b2f39dc,2,2.8,1,1.7,1,1.5
41dbe2c4528031428219f8128a0fd604,1.7,2.4,1,3.7,2.4,2.3
501751c90f9fa7803ff8c7d2aab07aa2,1,1.1,1,1,1,1
06eadaaeb6052c78ba61972bab886075,1.4,1.2,1,1,1,1
51ef2e442d3aacb0a75e9f49e171bb90,1,1,1,1,1,1.1
576b7b80444bec075934f6f642339e7f,1.2,1,1.6,2.4,1.5,1.9
1aa6e54d09a1b597629d379645ad743a,1,1.8,1,1,1,1.3
b06f932582478f47f571f841f7864e09,1.2,1.8,3.8,1,1.8,1.9
7d70bf88478f606dff2dd9f37a2629f4,1.5,1.4,1.7,1.2,1.1,1.8
fce5621ceedde32e329cb3d565709808,1,1,1,1,3.6,1.5
68b94942399471c2564d7a2d605bad2e,1,1,1,1.2,1,1.5
d5070ac01a9b64c0a74b6c86327fe0f3,3.3,2.7,3.6,3.2,4.7,3.4
3db38d941fef2b4c4ed36f89c02f9263,2.8,2.4,4.1,3.6,4.8,3.2
721efc19e0738a4290d50aabbc2d5d3b,2.3,2.8,4.7,2.6,2.5,3.6
47f0ed363641ff07fc4b6d722a098644,1.6,3.2,3.8,2.3,3.1,2.7
0fbe8ed171ef3edcb4cdd114db130ca2,4.1,1.7,3.8,1.4,2.5,2.5
2e0840e69c36f50ee66e860bd4d9d96a,2.1,1.4,1,1,1.8,1.3
b55336005b4a63106b485cd3099753c2,4.1,3,3.5,3.8,5,3.7
cc59f1a5d5634d88a0cdd19fc6f34c06,1.2,1,1.2,1,1.7,1.4
1ad18b6292ec98f0fa625420ba913b45,1.2,3.2,2.7,2.7,2.9,2.4
2be5ff3a2abb51d8b6aeed2985c2d146,1,2,1,1.4,1,1.6
f7d9a6ed9169eb4247e44ec52d312144,1.5,1,1.6,1.5,1,1.7
c9ea38564ee310eb49d6504b7165f588,3.7,2.1,1,2,3.3,2.3
c5b96984d02a444f9388394ef97d0337,3.2,3.9,4.8,4.6,4.2,4.2
c9b0079ce88112272f6ab475258cc154,1.6,1,3.1,2.3,1,2.4
69ede62095ed187e3f5570492fdd78ba,1,2.3,1,2.9,1.9,1.9
5e22e7297d7b76669aa0877f53a6c0a0,1.1,1,1,1,1,1.4
a41e43661b0a34498d019ed0ad20bae7,1.5,1,1,1,1.7,1.7
794dacaef2b171ba63431a7bdfe0d9ab,4.2,3.9,4.8,2.5,2.9,4.4
0156a5d36dc87cd36cae4fec8428014e,3.5,5,5,5,5,4.8
d3f3081ce4df73fc9df41cc0cb513829,2.9,2,1,1.7,1.4,1.9
2cbd9847d041d05ead48ad8feffc2f17,4.3,5,5,5,5,5
249ca3620ad0ca5f8653a1bc3c17f9e1,2.2,3.2,2.6,2.4,2.7,2.3
cec5da0d17260186daac78256e665e45,4.6,4.4,3.3,2.5,3.4,3.3
68c1b0b26fb5fe31b6bc3701d77990c6,2.7,1,1,2.6,2.5,2.5
de856b8c6695b787863339d866164d1f,1.6,1.6,1,1.4,2.2,1.9
bd11ce95595b8e42be6bbd10f9745b64,3.4,2.1,1,1,1,1.6
7a82e1e6a6832e66f4b51f70ca388fb3,3,5,2.9,4,5,3.7
115c5b76f65c755823cc4b71283966f0,2.5,1,3.1,1,1,1.6
689d13a60b0890fb4f7beb5ba05bc0e7,4.2,3.1,3.3,4.3,3.2,4.1
7d13e998a4d71d51a49e6a6f2df14c34,1,1.5,1,2.1,1,1
13ffbce76cbaa2e9c5dbfa482fe839a6,1.2,1,1,1,1.6,1
bf5445b400ace147d150c778ef62a1b4,1,3,1,1,2.4,1.9
8c756d688028c39b41a7b1519b4e9973,2.8,1.5,2.4,1.1,3.1,2.3
13b69df37f998ddc76b4ceb6267a4ad3,2.2,1.6,1.2,1,1.4,1
81d6c8da7dfac41b46fedf30c6893570,2,1.4,1.6,2.5,1.6,2.2
42156c350527a185435aa4c90b4d718e,1,1.7,1.9,1,1,1
d02eb50af3040f84519d8157fe86e263,1.9,3.5,3.7,3.7,3,3.2
d73194be17c2d1409b18a27bed1e4fc4,2.6,2.1,2.6,2.6,3.1,3.2
4319a0d8ebfeb03255d19fa91ec55dd6,1.9,2,2,2.9,1.6,2.1
c854be7da90a2c71f26de3f5c1db26be,2.8,1.1,1.7,1.8,1,1.1
1f162f74df4435917b460f8919ebdcd6,2,2.1,2.1,3.9,4.1,3.6
64d8c778cf1e938a5b1ce635f404c82b,3.4,2.4,3.3,2.7,2.4,3.3
ce73bd2c35cf64ee64f9907603d9761d,1.8,2.8,2,1.6,2,1.6
7083ec302638ced01ff12c2ce4312779,2.3,1.4,3.3,1.4,1.8,2.1
4412016aebd4117a522be1e8236bdbf5,1.1,1.3,2,1,1.2,1.6
c2a04c9b74063a8197dfeb55ebc457d7,1,1,1.2,1,2.8,1.3
b05fbaab3e80160504933f8f0eee5683,2,3.4,1,1,1,1.5
c4ccf04b7414a096c6937c283663e448,2.9,3,2.4,1,3.1,2.7
49bc96a8710760a9c0f4c856b4d9238b,1,1.6,1.2,3.4,1,1.4
cedf2a948d2192bc77d00bf313a4b9a6,1.2,1.1,1.6,1.5,1.1,1.2
057a413d23aa158b755bc7a262861e29,1,1.1,1.4,1,1,1.6
346702159008c4bacc8fd6cd67dcd730,4.2,4.5,3.5,3.3,5,4.4
cd9d503de41cd6368311ad66595dd7d3,4.2,4.6,5,5,4,5
bc5ae9f5a30bb343b82c14d4fdbd8b7f,1,1,1.6,1,1,1.7
006d89f5a45801b979f527f65ef9a884,1,1.8,2,1.6,1.5,2
3352fa1ddefc953fa3be075d8f113fd1,5,2.1,4.2,2.4,3.2,2.8
b4d8ff09c51d48ce4b3328e1668b22ef,1,2.3,1,1.6,1.7,1.5
61db711d99f797cfb2e5a55d7db1779c,2.2,1.4,1.9,2,1,1.4
ba58314395377e074db5b86075408849,1,1,1,1,1.3,1
